team,stats_team,region,seed,slot,play_in,play_in_group,games,win_pct,ppg,opp_ppg,scoring_margin,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,srs,sos,pace,off_rtg,ts_pct,trb_pct,ast_pct,efg_pct,tov_pct,orb_pct,power_rating
Villanova,Villanova,West,8,R64_W2,False,,32,75.0,77.2,70.8,6.400000000000006,45.66,35.28,69.4,34.47,15.5,10.1,1.53,16.3,9.93,66.4,114.8,56.2,49.8,56.8,53.7,12.9,32.4,96.3055671468079
Utah State,Utah St.,West,9,R64_W2,False,,34,82.4,82.5,70.4,12.099999999999994,49.85,35.82,70.71,34.59,17.6,10.6,1.66,17.36,6.51,68.5,120.0,59.9,51.3,60.5,57.199999999999996,13.3,33.3,107.51561222869637
Missouri,Missouri,West,10,R64_W7,False,,32,62.5,79.7,75.3,4.400000000000006,49.04,35.01,68.6,35.59,14.1,12.4,1.14,13.08,8.77,68.4,115.6,58.199999999999996,52.6,50.6,55.300000000000004,15.3,35.5,91.77846675024904
NC State,NC State,West,11,R64_W5,True,W11,33,60.6,83.7,76.5,7.200000000000003,46.81,38.82,76.77,34.52,15.6,9.2,1.69,18.02,10.83,69.5,119.0,59.0,49.3,54.8,55.300000000000004,11.5,28.5,102.29904482421681
Texas,Texas,West,11,R64_W5,True,W11,32,56.2,83.8,76.8,7.0,48.6,35.32,75.21,37.66,12.3,11.0,1.12,16.17,10.3,69.2,120.1,59.3,55.4,43.5,55.00000000000001,13.5,36.3,98.2010294415777
High Point,High Point,West,12,R64_W3,False,,34,88.2,90.0,70.3,19.700000000000003,49.14,35.56,74.31,36.38,16.3,9.4,1.74,6.76,-7.89,71.8,124.5,60.3,51.5,53.6,56.599999999999994,11.1,33.1,113.04832753081162
Hawai'i,Hawaii,West,13,R64_W4,False,,32,75.0,79.6,69.7,9.899999999999991,45.94,31.51,74.06,39.28,13.7,13.5,1.02,4.85,-3.59,72.1,109.6,56.599999999999994,54.5,51.1,52.2,16.1,32.3,88.33972043464644
Kennesaw State,Kennesaw St.,West,14,R64_W6,False,,34,61.8,83.4,76.1,7.300000000000011,44.63,34.97,69.06,40.32,14.3,11.9,1.2,0.13,-2.0,72.4,114.2,55.7,53.3,51.6,52.2,13.7,36.6,88.93796271393704
Queens,Queens (NC),West,15,R64_W8,False,,34,61.8,84.9,82.9,2.0,48.24,35.97,73.89,33.79,15.9,10.7,1.49,-3.3,-4.97,71.0,118.7,59.9,48.9,54.8,56.699999999999996,13.1,30.2,89.20168179323441
Long Island University,LIU,West,16,R64_W1,False,,34,70.6,74.1,71.1,3.0,48.07,36.12,66.77,35.0,13.6,13.0,1.05,-4.96,-7.93,68.1,108.3,55.7,51.3,49.7,53.300000000000004,16.4,34.3,79.61018532969669
