team,ppg,opp_ppg,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,games,win_pct
VMI,72.0,80.0,40.17,32.85,72.34,33.25,12.6,10.0,1.26,32,18.8
Valparaiso,72.0,71.5,42.02,34.04,70.65,36.21,12.1,10.5,1.15,33,54.5
Vanderbilt,86.4,75.2,47.53,35.53,79.27,35.32,16.4,9.5,1.72,34,76.5
Vermont,73.4,68.5,46.27,33.99,71.4,34.79,12.7,9.4,1.35,34,64.7
Villanova,77.2,70.8,45.66,35.28,69.4,34.47,15.5,10.1,1.53,32,75.0
Virginia,80.6,68.4,46.26,35.95,72.65,40.21,16.6,10.8,1.53,34,85.3
Virginia Tech,78.8,74.9,45.19,35.54,74.28,34.78,14.4,10.4,1.38,32,59.4
Wagner,71.3,71.7,43.72,34.96,73.04,37.26,12.5,12.8,0.98,31,45.2
Wake Forest,78.8,77.1,45.04,34.42,77.39,33.15,14.3,10.8,1.32,33,51.5
Washington,77.1,73.6,45.79,31.48,76.39,37.15,13.9,10.5,1.32,33,48.5
Washington St.,76.1,77.5,46.68,36.86,74.25,34.28,13.9,13.0,1.06,32,37.5
Weber St.,81.2,77.3,46.86,34.92,73.35,36.97,13.4,11.1,1.21,32,50.0
West Virginia,69.2,64.8,44.1,32.85,67.68,34.56,12.8,11.3,1.13,32,56.2
Western Caro.,78.5,77.3,44.47,33.37,71.62,38.87,12.8,11.5,1.12,31,48.4
Western Ill.,64.9,76.8,40.3,31.38,66.51,31.87,8.4,11.8,0.72,31,16.1
Western Ky.,79.3,76.1,41.28,34.13,75.87,38.91,13.3,10.4,1.28,32,56.2
Western Mich.,74.8,79.5,44.03,35.13,74.19,36.32,12.6,12.1,1.04,31,32.3
Wichita St.,77.6,70.4,44.24,34.09,69.02,41.0,11.6,10.4,1.12,33,66.7
William & Mary,83.1,77.7,48.02,33.17,74.48,34.91,17.9,12.1,1.48,32,62.5
Winthrop,83.6,75.5,43.62,33.9,73.06,41.26,14.3,10.9,1.31,34,67.6
Wisconsin,83.0,75.9,44.97,36.1,78.57,35.5,16.0,8.9,1.79,34,70.6
Wofford,78.8,77.1,45.43,34.92,70.36,34.81,14.1,9.4,1.5,32,59.4
Wright St.,80.7,73.4,48.85,36.13,73.57,35.41,13.8,11.3,1.22,34,67.6
Wyoming,77.1,73.0,45.32,32.96,74.44,35.56,14.0,11.0,1.27,32,56.2
Xavier,78.4,80.6,44.39,36.52,72.87,34.33,17.4,10.0,1.74,33,45.5
Yale,81.8,71.0,49.6,40.03,75.62,35.2,16.4,9.3,1.76,30,80.0
Youngstown St.,78.0,73.1,46.25,34.64,73.91,34.56,14.7,12.7,1.16,32,46.9
